;MODEL_INPUT;ED_I_rho;ED_I_p-value;ED_II_rho;ED_II_p-value;ED_III_rho;ED_III_p-value;ED_IV_rho;ED_IV_p-value
0;Orig;0.9993;0.0;0.9978;0.0;1.0;0.0;0.9993;0.0
1;RF_(KGE);0.9993;0.0;1.0;0.0;0.9993;0.0;0.9993;0.0
2;RF_(Text);0.9985;0.0;0.9993;0.0;1.0;0.0;0.9985;0.0
3;RF_(Text+KGE);1.0;0.0;0.9956;0.0;1.0;0.0;0.9993;0.0
4;LSTM_(KGE);0.9993;0.0;0.9985;0.0;1.0;0.0;0.9993;0.0
5;LSTM_(Text);1.0;0.0;0.9985;0.0;1.0;0.0;1.0;0.0
6;LSTM_(Text+KGE);1.0;0.0;0.9993;0.0;0.9993;0.0;1.0;0.0
7;Bi-LSTM_(KGE);1.0;0.0;1.0;0.0;0.9993;0.0;1.0;0.0
8;Bi-LSTM_(Text);0.9993;0.0;0.9993;0.0;0.9985;0.0;0.9993;0.0
9;Bi-LSTM_(Text+KGE);1.0;0.0;0.9993;0.0;1.0;0.0;0.9993;0.0
10;CNN_(KGE);0.9985;0.0;0.9963;0.0;1.0;0.0;0.9993;0.0
11;CNN_(Text);0.9993;0.0;0.9993;0.0;1.0;0.0;0.9993;0.0
12;CNN_(Text+KGE);0.9993;0.0;1.0;0.0;0.9993;0.0;0.9978;0.0
13;CNN+LSTM_(KGE);0.997;0.0;0.9978;0.0;0.9993;0.0;1.0;0.0
14;CNN+LSTM_(Text);1.0;0.0;0.9985;0.0;0.9993;0.0;0.9993;0.0
15;CNN+LSTM_(Text+KGE);1.0;0.0;1.0;0.0;1.0;0.0;0.9971;0.0
16;Albert_(KGE);1.0;0.0;0.9993;0.0;1.0;0.0;0.9993;0.0
17;Albert_(Text);0.9993;0.0;0.9993;0.0;1.0;0.0;0.9978;0.0
18;Albert_(Text+KGE);1.0;0.0;0.9993;0.0;1.0;0.0;0.9993;0.0
19;BERT_(KGE);1.0;0.0;0.9963;0.0;1.0;0.0;1.0;0.0
20;BERT_(Text);0.9985;0.0;0.9993;0.0;0.9993;0.0;0.9993;0.0
21;BERT_(Text+KGE);1.0;0.0;1.0;0.0;1.0;0.0;0.9985;0.0
22;CamemBERT_(KGE);0.9993;0.0;0.9985;0.0;0.9993;0.0;1.0;0.0
23;CamemBERT_(Text);1.0;0.0;0.9985;0.0;1.0;0.0;1.0;0.0
24;CamemBERT_(Text+KGE);1.0;0.0;0.9993;0.0;1.0;0.0;0.9993;0.0
25;DistilBERT_(KGE);1.0;0.0;0.9985;0.0;0.9993;0.0;1.0;0.0
26;DistilBERT_(Text);1.0;0.0;0.9985;0.0;1.0;0.0;1.0;0.0
27;DistilBERT_(Text+KGE);0.9993;0.0;0.9993;0.0;0.9993;0.0;1.0;0.0
28;FlauBERT_(KGE);1.0;0.0;0.9978;0.0;1.0;0.0;0.9993;0.0
29;FlauBERT_(Text);1.0;0.0;0.9985;0.0;0.9985;0.0;1.0;0.0
30;FlauBERT_(Text+KGE);1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
31;RoBERTa_(KGE);1.0;0.0;0.9978;0.0;1.0;0.0;0.9993;0.0
32;RoBERTa_(Text);1.0;0.0;0.9985;0.0;1.0;0.0;1.0;0.0
33;RoBERTa_(Text+KGE);1.0;0.0;1.0;0.0;1.0;0.0;0.9971;0.0
34;TweetBERT_(KGE);0.9971;0.0;1.0;0.0;0.9993;0.0;0.9985;0.0
35;TweetBERT_(Text);0.9985;0.0;0.9993;0.0;0.9993;0.0;1.0;0.0
36;TweetBERT_(Text+KGE);1.0;0.0;0.9993;0.0;0.9993;0.0;0.9985;0.0
